Coverage,Hit %
0.00000,0.67347
0.04167,0.70408
0.08333,0.73469
0.12500,0.73469
0.16667,0.78571
0.20833,0.81633
0.25000,0.86735
0.29167,0.91837
0.33333,0.91837
0.37500,0.97959
0.41667,0.97959
0.45833,0.97959
0.50000,1.00000
0.54167,1.00000
0.58333,1.00000
0.62500,1.00000
0.66667,1.00000
0.70833,1.00000
0.75000,1.00000
0.79167,1.00000
0.83333,1.00000
0.87500,1.00000
0.91667,1.00000
0.95833,1.00000
1.00000,1.00000
