Coverage,Hit %
0.00000,0.44000
0.05556,0.44000
0.11111,0.48000
0.16667,0.48000
0.22222,0.48000
0.27778,0.51000
0.33333,0.51000
0.38889,0.57000
0.44444,0.57000
0.50000,0.57000
0.55556,0.63000
0.61111,0.63000
0.66667,0.69000
0.72222,0.75000
0.77778,0.75000
0.83333,0.78000
0.88889,0.78000
0.94444,0.97000
1.00000,0.97000
