,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,394733.65,61763.48,29818.44,78696.32,0.0,493465.17,574.26,1059051.32
std,1574132.59906,233029.90787,100504.541558,327615.109273,0.0,1974144.59524,1325.98035103,4208723.06156
min,47.0,35.0,48.0,0.0,0.0,175.0,0.0,392.0
25%,1487.5,237.5,204.25,374.0,0.0,1803.5,0.0,4611.5
50%,8935.0,2630.0,1023.0,1186.0,0.0,8743.0,0.0,23338.0
75%,41786.0,16273.0,11783.0,4617.0,0.0,46310.0,68.0,104771.0
max,7213498.0,1070739.0,462473.0,1499336.0,0.0,9045872.0,4596.0,19291918.0
