,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0
mean,715.670050761,540.304568528,292.482233503,692.416243655,12.4263959391,0.0,0.0,2253.29949239
std,1426.85893349,739.697282697,549.902325222,1107.23053539,21.2943633843,0.0,0.0,3371.77527222
min,8.0,8.0,8.0,12.0,0.0,0.0,0.0,36.0
25%,74.0,82.0,54.0,128.0,0.0,0.0,0.0,348.0
50%,256.0,172.0,94.0,316.0,0.0,0.0,0.0,914.0
75%,598.0,930.0,190.0,738.0,8.0,0.0,0.0,2558.0
max,6888.0,2173.0,3012.0,6180.0,64.0,0.0,0.0,15384.0
