,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0
mean,2469.46700508,2722.1319797,4456.45177665,2270.06598985,753.680203046,0.0,0.0,12671.7969543
std,3727.89039965,5840.96483091,7928.84641441,3344.71213805,989.350469394,0.0,0.0,21373.0682874
min,51.0,37.0,56.0,37.0,8.0,0.0,0.0,189.0
25%,354.0,252.0,434.0,325.0,112.0,0.0,0.0,1531.0
50%,816.0,687.0,1098.0,780.0,354.0,0.0,0.0,3534.0
75%,3961.0,3129.0,5510.0,2870.0,1079.0,0.0,0.0,17009.0
max,16302.0,30483.0,40029.0,15396.0,3927.0,0.0,0.0,106137.0
