,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0
mean,2346.82233503,541.888324873,625.78680203,2808.44670051,390.192893401,4462.17258883,2.33502538071,11177.6446701
std,4047.46177251,741.164175068,910.978043166,3959.47442444,593.380374401,6749.81960006,9.55272381417,16090.7456739
min,12.0,8.0,11.0,32.0,0.0,27.0,0.0,90.0
25%,186.0,84.0,97.0,411.0,38.0,458.0,0.0,1274.0
50%,468.0,172.0,217.0,900.0,96.0,1002.0,0.0,2964.0
75%,3027.0,936.0,898.0,4702.0,626.0,5266.0,0.0,18420.0
max,19368.0,2173.0,3822.0,12448.0,2084.0,20151.0,51.0,51030.0
