,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,197.0,197.0,197.0,197.0,197.0,197.0,197.0,197.0
mean,3809.44162437,2723.71573604,4146.77664975,3957.93401015,968.401015228,4078.9035533,1144.43147208,20829.6040609
std,6162.40954588,5842.21265485,7190.58139491,5389.07946881,1299.16272354,6204.79207383,1888.75489481,32231.1648315
min,47.0,37.0,47.0,49.0,4.0,19.0,24.0,227.0
25%,384.0,254.0,401.0,526.0,104.0,386.0,178.0,2303.0
50%,977.0,691.0,1068.0,1278.0,396.0,946.0,378.0,5406.0
75%,5626.0,3135.0,5208.0,6539.0,1713.0,4704.0,1286.0,31185.0
max,27846.0,30489.0,35901.0,16698.0,4407.0,18996.0,9792.0,144129.0
