,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
mean,6849.35714286,4925.26530612,4230.34693878,3837.36734694,542.693877551,1601.79591837,1695.36734694,23682.1938776
std,9212.8277404,6081.57333745,5789.23337179,4883.68837795,612.31100864,2435.18086273,2072.81900975,30835.9047596
min,19.0,22.0,62.0,55.0,11.0,15.0,0.0,184.0
25%,1351.75,901.0,901.75,820.75,140.0,243.0,336.0,4276.0
50%,2827.0,3375.0,2132.0,2458.0,356.0,706.0,626.0,11830.0
75%,6789.25,6059.0,4113.75,3962.5,674.0,1067.0,2184.0,23369.5
max,40683.0,26268.0,24861.0,22080.0,2829.0,10044.0,8973.0,135738.0
