,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,582615.18,165217.95,205650.86,113322.53,3609.51,417273.76,68159.58,1555849.37
std,2317468.43126,609222.239173,792557.302804,457123.517697,13511.4243404,1664201.2903,257528.538044,6111027.10196
min,105.0,114.0,87.0,165.0,0.0,150.0,6.0,710.0
25%,2599.75,911.25,1103.5,950.0,43.75,1421.0,800.25,8099.25
50%,15357.0,11726.0,6940.0,2172.0,171.0,7849.0,7406.0,52297.0
75%,70007.0,38136.0,26230.0,19019.0,891.0,42746.0,24022.0,215031.0
max,10621800.0,2800215.0,3637178.0,2095286.0,62108.0,7626408.0,1183877.0,28026872.0
