,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,307514.51,133826.75,196435.65,79591.61,3933.33,0.0,0.0,721301.85
std,1205674.53717,489246.315783,768422.899064,305368.780589,14315.5676179,0.0,0.0,2782718.46024
min,60.0,63.0,63.0,39.0,0.0,0.0,0.0,225.0
25%,2459.25,887.5,1145.5,594.0,115.0,0.0,0.0,5257.25
50%,11167.0,11421.0,7585.0,3634.0,291.5,0.0,0.0,35457.0
75%,49781.0,36171.0,27710.0,15727.0,1045.5,0.0,0.0,129539.0
max,5531127.0,2249584.0,3524771.0,1402650.0,65924.0,0.0,0.0,12774056.0
