,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
mean,650.93877551,364.510204082,260.591836735,79.5,39.8469387755,0.0,0.0,1395.3877551
std,599.35136445,455.61885511,418.38434549,96.3740832253,55.754312309,0.0,0.0,1384.09046865
min,18.0,7.0,1.0,0.0,0.0,0.0,0.0,28.0
25%,219.75,115.5,32.0,0.0,0.0,0.0,0.0,429.75
50%,589.0,171.0,126.0,37.0,18.0,0.0,0.0,1036.0
75%,756.0,346.5,188.0,148.0,88.0,0.0,0.0,1602.0
max,2730.0,1974.0,1845.0,270.0,154.0,0.0,0.0,6549.0
