,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
mean,1303.62244898,384.43877551,1314.91836735,229.918367347,97.7551020408,1959.74489796,24.4795918367,5314.87755102
std,1535.514216,465.525223083,2202.78729558,298.211392312,110.127204915,2749.82752715,31.0241773334,6823.29198335
min,18.0,8.0,18.0,0.0,0.0,28.0,0.0,84.0
25%,319.0,115.5,190.0,6.0,0.0,296.0,4.0,1012.0
50%,907.0,219.0,380.0,88.0,64.0,940.0,11.0,2916.0
75%,1224.0,394.5,971.0,318.0,160.0,1741.25,42.0,5294.5
max,6930.0,2010.0,9102.0,843.0,318.0,11547.0,119.0,29643.0
