,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,18185.32,30334.42,7497.4,16103.84,0.0,0.0,0.0,72120.98
std,53720.7093771,113103.065993,27367.2372118,66853.6635671,0.0,0.0,0.0,260673.383684
min,12.0,10.0,0.0,0.0,0.0,0.0,0.0,42.0
25%,543.75,213.75,65.0,3.0,0.0,0.0,0.0,1004.5
50%,2022.0,1197.0,470.0,289.0,0.0,0.0,0.0,5362.0
75%,10166.0,11058.0,2771.0,684.0,0.0,0.0,0.0,20301.0
max,248242.0,520104.0,125914.0,305914.0,0.0,0.0,0.0,1200174.0
