,Handle,Propagate,Raise,Remap,Rethrow,Addition,Removal,All
count,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
mean,6477.31632653,4922.64285714,4121.39795918,4332.01020408,625.234693878,0.0,0.0,20478.6020408
std,8470.99605579,6078.31384013,4942.72394064,6012.29861097,685.625710176,0.0,0.0,26030.201878
min,19.0,22.0,51.0,53.0,9.0,0.0,0.0,154.0
25%,1261.75,901.0,820.0,854.75,161.0,0.0,0.0,3889.75
50%,2648.0,3369.0,2055.0,2480.0,391.0,0.0,0.0,10418.0
75%,6548.0,6059.0,4314.75,4143.5,751.75,0.0,0.0,21456.0
max,37686.0,26253.0,21711.0,26847.0,3153.0,0.0,0.0,115650.0
